cs1,cs2,cs3,n_images,agree_all_frac_mean,agree12_frac_mean,agree13_frac_mean,agree23_frac_mean,miou1_imgmean,miou2_imgmean,miou3_imgmean,miouE_imgmean,miou1_dataset,miou2_dataset,miou3_dataset,miouE_dataset,best_single_dataset,ensemble_gain_over_best_single
ictcp_pq,srgb_linear,ycbcr_bt709,10,0.8295856353712129,0.8498279690270133,0.8760256573171065,0.9320252787296435,7.286426627201346,7.496828610605661,7.830464716896323,7.825929896875832,32.70964465056424,31.15979519695565,34.730908314849835,35.089141743792,34.730908314849835,0.3582334289421638
oklab,oklch,srgb_linear,10,0.8244732686054477,0.8821503410495527,0.9067578798705721,0.8592273158915689,7.828507696346305,7.8159916984152575,7.496828610605661,8.053587671415276,35.39255811487449,32.661160784563286,31.15979519695565,35.076898534332464,35.39255811487449,-0.31565958054202525
jzazbz,oklch,ycbcr_bt709,10,0.8642325884613967,0.8927790572384648,0.9399997939030333,0.8955676128072436,7.943999943381203,7.8159916984152575,7.830464716896323,7.98564786320042,35.48254059634142,32.661160784563286,34.730908314849835,35.06736184687785,35.48254059634142,-0.41517874946357125
hsv_conic,xyz,ycbcr_bt709,10,0.8149151797104084,0.8225911876234253,0.9538996441626763,0.8530732601696454,7.91775324491911,6.646894189985868,7.830464716896323,7.9120317271662115,34.595471137060706,26.761019442700896,34.730908314849835,35.06541870248675,34.730908314849835,0.334510387636918
cielab,jzczhz,oklab,10,0.8753109031325188,0.8983047276893142,0.9508551373258427,0.8990338981361082,7.573457329032071,7.6139420129962785,7.828507696346305,7.862447806508395,32.833098980563705,32.057920716895914,35.39255811487449,35.06347261664213,35.39255811487449,-0.32908549823235944
cielab,oklab,ycbcr_bt709,10,0.9238200596653435,0.9508551373258427,0.9404343766803901,0.9560140624102825,7.573457329032071,7.828507696346305,7.830464716896323,7.82876464655251,32.833098980563705,35.39255811487449,34.730908314849835,35.03446811283824,35.39255811487449,-0.3580900020362492
ictcp_pq,oklch,ycbcr_bt709,10,0.8067969491961344,0.8397021995254036,0.8760256573171065,0.8955676128072436,7.286426627201346,7.8159916984152575,7.830464716896323,8.007835932634208,32.70964465056424,32.661160784563286,34.730908314849835,35.02425684710061,34.730908314849835,0.29334853225077495
c16,jzazbz,oklab,10,0.9205761998096025,0.945304482431502,0.9387300436517169,0.9571108843144291,7.832689776667282,7.943999943381203,7.828507696346305,7.904600691828011,33.256139919264164,35.48254059634142,35.39255811487449,35.02057964742859,35.48254059634142,-0.46196094891283224
c02,hsv_conic,oklch,10,0.8779823382846882,0.9477453032263033,0.9036829775766595,0.904363940676593,7.796517775252461,7.91775324491911,7.8159916984152575,8.089718476878245,33.77989990197807,34.595471137060706,32.661160784563286,34.98622285347328,34.595471137060706,0.39075171641257356
c02,jzczhz,oklab,10,0.8800718588010739,0.9190589965860401,0.940216882760239,0.8990338981361082,7.796517775252461,7.6139420129962785,7.828507696346305,8.015292543394565,33.77989990197807,32.057920716895914,35.39255811487449,34.98136401310014,35.39255811487449,-0.411194101774349
ictcp_pq,oklch,rgb,10,0.8027291930079501,0.8397021995254036,0.8717592922676731,0.891710992426416,7.286426627201346,7.8159916984152575,7.673425436314167,7.946959724029654,32.70964465056424,32.661160784563286,32.72496099337972,34.97739608472886,32.72496099337972,2.2524350913491418
jzazbz,jzczhz,ycbcr_bt709,10,0.8751443806974922,0.9100334886716965,0.9399997939030333,0.8981062955867218,7.943999943381203,7.6139420129962785,7.830464716896323,7.970181822001445,35.48254059634142,32.057920716895914,34.730908314849835,34.97653258213329,35.48254059634142,-0.5060080142081347
c02,hsv_conic,jzczhz,10,0.8926753242452878,0.9477453032263033,0.9190589965860401,0.9179826041672545,7.796517775252461,7.91775324491911,7.6139420129962785,8.058962319882388,33.77989990197807,34.595471137060706,32.057920716895914,34.930988641162905,34.595471137060706,0.3355175041021994
c02,c16,hsv_conic,10,0.9318359024912782,0.9639084923484731,0.9477453032263033,0.9519898656952049,7.796517775252461,7.832689776667282,7.91775324491911,8.087685578522509,33.77989990197807,33.256139919264164,34.595471137060706,34.92171217912352,34.595471137060706,0.32624104206281146
c02,ictcp_pq,oklab,10,0.8596707230459797,0.8826958123373826,0.940216882760239,0.8949742503955356,7.796517775252461,7.286426627201346,7.828507696346305,7.782832132400695,33.77989990197807,32.70964465056424,35.39255811487449,34.89864801993369,35.39255811487449,-0.4939100949408015
oklab,rgb,srgb_linear,10,0.8695568985925523,0.938205366135797,0.9067578798705721,0.8920791404002923,7.828507696346305,7.673425436314167,7.496828610605661,7.891759363110436,35.39255811487449,32.72496099337972,31.15979519695565,34.892694182001996,35.39255811487449,-0.4998639328724934
jzazbz,oklch,rgb,10,0.8627278372331183,0.8927790572384648,0.9400443106296992,0.891710992426416,7.943999943381203,7.8159916984152575,7.673425436314167,7.898094082131925,35.48254059634142,32.661160784563286,32.72496099337972,34.88021199391309,35.48254059634142,-0.6023286024283294
oklab,oklch,xyz,10,0.7490701301738725,0.8821503410495527,0.8313000965821944,0.7840476845922458,7.828507696346305,7.8159916984152575,6.646894189985868,8.00246758438133,35.39255811487449,32.661160784563286,26.761019442700896,34.86640624348597,35.39255811487449,-0.5261518713885209
hsv_conic,srgb_linear,ycbcr_bt709,10,0.8901978377764938,0.8939211207245401,0.9538996441626763,0.9320252787296435,7.91775324491911,7.496828610605661,7.830464716896323,7.8612909018636445,34.595471137060706,31.15979519695565,34.730908314849835,34.86118423259467,34.730908314849835,0.13027591774483227
c02,ictcp_pq,ycbcr_bt709,10,0.8426153401282719,0.8826958123373826,0.9247020904423741,0.8760256573171065,7.796517775252461,7.286426627201346,7.830464716896323,7.833248046252995,33.77989990197807,32.70964465056424,34.730908314849835,34.848430312762815,34.730908314849835,0.11752199791298068
